日付,銘柄名,コード,業種,TOPIXに占める個別銘柄のウェイト,ニューインデックス区分,調整係数対象銘柄
20211130,インターアクション,7725,精密機器,0.00%,TOPIX Small 1,
20211130,オーバル,7727,精密機器,0.00%,TOPIX Small 2,
20211130,東精密,7729,精密機器,0.03%,TOPIX Small 1,
20211130,マニー,7730,精密機器,0.03%,TOPIX Mid400,
20211130,ニコン,7731,精密機器,0.07%,TOPIX Mid400,
20211130,トプコン,7732,精密機器,0.03%,TOPIX Mid400,
20211130,オリンパス,7733,精密機器,0.50%,TOPIX Large70,
20211130,理計器,7734,精密機器,0.02%,TOPIX Small 2,
20211130,スクリン,7735,電気機器,0.08%,TOPIX Mid400,
20211130,キヤノン電子,7739,電気機器,0.01%,TOPIX Small 2,
20211130,タムロン,7740,精密機器,0.01%,TOPIX Small 1,
20211130,ＨＯＹＡ,7741,精密機器,1.33%,TOPIX Core30,
20211130,シード,7743,精密機器,0.00%,TOPIX Small 2,
20211130,ノーリツ鋼機,7744,精密機器,0.01%,TOPIX Small 1,
20211130,Ａ＆Ｄ,7745,精密機器,0.00%,TOPIX Small 2,
20211130,アサヒインテック,7747,精密機器,0.10%,TOPIX Mid400,
20211130,キヤノン,7751,電気機器,0.47%,TOPIX Large70,
20211130,リコー,7752,電気機器,0.11%,TOPIX Mid400,
20211130,シチズン時計,7762,精密機器,0.02%,TOPIX Small 1,
20211130,リズム,7769,精密機器,0.00%,TOPIX Small 2,
20211130,大研医器,7775,精密機器,0.00%,TOPIX Small 2,
20211130,メニコン,7780,精密機器,0.05%,TOPIX Mid400,
20211130,シンシア,7782,精密機器,0.00%,TOPIX Small 2,
20211130,中本パックス,7811,その他製品,0.00%,TOPIX Small 2,
20211130,スノーピーク,7816,その他製品,0.02%,TOPIX Small 1,
20211130,パラベッド,7817,その他製品,0.01%,TOPIX Small 1,
20211130,トランザクション,7818,その他製品,0.00%,TOPIX Small 2,
20211130,粧美堂,7819,その他製品,0.00%,TOPIX Small 2,
20211130,ニホンフラッシュ,7820,その他製品,0.00%,TOPIX Small 2,
20211130,前田工繊,7821,その他製品,0.01%,TOPIX Small 1,
20211130,永大産業,7822,その他製品,0.00%,TOPIX Small 2,○
20211130,アートネイチャー,7823,その他製品,0.00%,TOPIX Small 2,
20211130,バンダイナムコ,7832,その他製品,0.30%,TOPIX Large70,
20211130,アイフィスジャパン,7833,その他製品,0.00%,TOPIX Small 2,
20211130,共立印刷,7838,その他製品,0.00%,TOPIX Small 2,
20211130,ＳＨＯＥＩ,7839,その他製品,0.02%,TOPIX Small 1,○
20211130,フラベッドＨ,7840,その他製品,0.00%,TOPIX Small 2,
20211130,マーベラス,7844,情報・通信業,0.00%,TOPIX Small 2,
20211130,パイロット,7846,その他製品,0.03%,TOPIX Mid400,
20211130,萩原工業,7856,その他製品,0.00%,TOPIX Small 2,
20211130,エイベックス,7860,情報・通信業,0.01%,TOPIX Small 1,
20211130,トッパンフォー,7862,その他製品,0.01%,TOPIX Small 1,
20211130,フジシール,7864,その他製品,0.02%,TOPIX Small 1,
