"SC","名称","市場","業種","時価総額(百万円)","発行済株式数","配当利回り（予想）","1株配当（予想）","PER（予想）","PBR（実績）","EPS（予想）","BPS（実績）","最低購入額","単元株","高値日付","年初来高値","安値日付","年初来安値"
"5933","アルインコ","東証一部","金属製品","19882","21039326","4.23","40","9.1","0.65","103.9","1446.92","94500","100","20210319","1105","20210104","910"
"5935","元旦ビューティ工業","JQS","金属製品","3812","771606","1.52","75","17.22","0.88","286.8","5645.15","494000","100","20210727","7410","20210415","3720"
"5936","東洋シヤッター","東証一部","金属製品","3749","6387123","2.56","15","8.65","0.52","67.87","1136.76","58700","100","20210225","740","20211220","581"
"5938","LIXIL","東証一部","金属製品","931185","313319159","2.69","80","18.38","1.53","161.73","1948.85","297200","100","20210909","3365","20210104","2177"
"5939","大谷工業","JQS","金属製品","3494","780000","0.67","30","18.87","1.1","237.42","4081.12","448000","100","20210128","10520","20211201","4465"
"5940","不二サッシ","東証二部","金属製品","9091","126267824","1.39","1","45.57","0.45","1.58","158.82","7200","100","20210609","100","20211214","70"
"5941","中西製作所","東証二部","金属製品","7719","6306000","2.04","25","10.4","0.46","117.73","2649.78","122400","100","20211215","1229","20210108","976"
"5942","日本フイルコン","東証一部","金属製品","11505","22167211","2.31","12","12.32","0.53","42.13","986.12","51900","100","20211124","576","20210226","488"
"5943","ノーリツ","東証一部","金属製品","85746","50797651","4.92","83","14.12","0.69","119.58","2446.68","168800","100","20210524","2024","20210201","1495"
"5945","天龍製鋸","JQS","金属製品","17753","5573817","3.77","120","8.19","0.49","388.98","6446.94","318500","100","20211111","3410","20210330","2650"
"5946","長府製作所","東証一部","金属製品","73148","35980500","1.77","36","22.78","0.55","89.24","3686.4","203300","100","20210319","2283","20210629","1985"
"5947","リンナイ","東証一部","金属製品","517218","50021057","1.35","140","20.31","1.52","509.06","6802.82","1034000","100","20210917","13650","20210709","10010"
"5949","ユニプレス","東証一部","輸送用機器","34698","47991873","-","-","-","0.28","-113.41","2606.9","72300","100","20210323","1215","20211129","691"
"5950","日本パワーファスニング","東証二部","金属製品","2654","18688540","3.52","5","1.21","1.71","117.1","83.08","14200","100","20211214","192","20211202","98"
"5951","ダイニチ工業","東証一部","金属製品","14389","19058587","2.91","22","7.73","0.51","97.62","1492.71","75500","100","20210112","1019","20210806","727"
"5952","アマテイ","東証二部","金属製品","1724","12317000","0.36","0.5","164.71","1.44","0.85","96.96","14000","100","20211112","237","20211220","140"
"5953","昭和鉄工","福証","金属製品","1614","897000","2.78","50","5.7","0.3","315.47","6041.3","179900","100","20210517","2000","20211208","1760"
"5955","ヤマシナ","東証二部","金属製品","10340","143611765","1.39","1","20.06","0.91","3.59","79.01","7200","100","20210218","90","20210105","70"
"5956","トーソー","東証二部","金属製品","5310","10000000","1.88","10","10.1","0.37","52.57","1427.68","53100","100","20210330","579","20210104","490"
"5957","日東精工","東証一部","金属製品","23671","39985017","2.53","15","10.92","0.76","54.21","774.04","59200","100","20210224","762","20210105","440"
"5958","三洋工業","東証一部","金属製品","6399","3520000","3.85","70","7.71","0.37","235.87","4938.9","181800","100","20210511","2075","20210303","1801"
"5959","岡部","東証一部","金属製品","38998","53790632","2.76","20","11.55","0.59","62.77","1237.39","72500","100","20210319","826","20210709","628"
"5962","浅香工業","東証二部","その他製品","1723","1037080","1.81","30","15.96","0.49","104.09","3389.41","166100","100","20210108","1823","20210303","1533"
"5964","東洋刃物","東証二部","金属製品","1961","1865900","2.85","30","3.43","0.58","306.85","1823.89","105100","100","20210615","1739","20210118","724"
"5965","フジマック","東証二部","金属製品","11460","14272000","2.49","20","28.44","0.56","28.23","1435.35","80300","100","20210630","830","20210308","719"
"5966","京都機械工具","東証二部","金属製品","4883","2477435","3.55","70","9.03","0.46","218.36","4317.28","197100","100","20210629","2090","20210118","1824"
"5967","TONE","東証二部","金属製品","7122","2342600","1.97","60","7.24","0.81","420.1","3761.09","304000","100","20211126","3725","20210219","2688"
"5969","ロブテックス","東証二部","金属製品","1701","1000000","2.94","50","8.36","0.38","203.45","4473.9","170100","100","20211019","2150","20211214","1640"
"5970","ジーテクト","東証一部","金属製品","60449","43931260","4.07","56","7.58","0.44","181.63","3159.85","137600","100","20210323","1634","20211130","1333"
"5971","共和工業所","JQS","金属製品","5515","1360000","1.97","80","6.12","0.44","662.88","9310.58","405500","100","20211209","4910","20210203","3750"
"5973","トーアミ","東証二部","金属製品","2662","6400000","3.61","15","19.95","0.24","20.85","1754.29","41600","100","20210311","587","20211202","409"
"5974","中国工業","東証二部","金属製品","2199","3420000","2.33","15","26.12","0.5","24.62","1294.56","64300","100","20210108","1229","20211220","639"
"5975","東プレ","東証一部","金属製品","59208","54021824","2.74","30","9.59","0.35","114.34","3129.8","109600","100","20210319","1741","20211201","1088"
"5976","高周波熱錬","東証一部","金属製品","24829","43790500","4.41","25","9.42","0.39","60.18","1449.01","56700","100","20210908","721","20210104","459"
"5979","カネソウ","名証二部","金属製品","5702","1440000","3.79","150","20.5","0.42","193.16","9497.02","396000","100","20210115","4200","20211213","3910"
"5981","東京製綱","東証一部","金属製品","14105","16268242","2.31","20","12.7","0.56","68.29","1557.43","86700","100","20210217","1500","20210104","720"
